age,type_employer,fnlwgt,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
17,?,73888,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,Male,0,0,40,United-States,<=50K
22,Private,71998,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Female,12,0,40,?,<=50K
26,Private,118314,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,20,0,40,India,<=50K
53,Private,109328,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,0,48,United-States,>50K
27,Private,94918,Bachelors,11,Divorced,Exec-managerial,Not-in-family,White,Male,7492,0,50,United-States,<=50K
30,Private,175371,HS-grad,9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,50,?,<=50K
43,Private,169180,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,3797,0,54,United-States,>50K
48,Private,158602,10th,7,Separated,Other-service,Not-in-family,Black,Male,9,0,40,United-States,<=50K
26,Private,360279,HS-grad,9,Separated,Craft-repair,Not-in-family,Other,Male,0,0,40,Puerto-Rico,<=50K
40,Local-gov,168149,Bachelors,13,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,?,<=50K
40,Private,128200,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
79,Self-emp-inc,154519,Some-college,10,Married-civ-spouse,Protective-serv,Wife,White,Female,16,0,31,?,<=50K
44,Private,200598,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,7403,0,52,United-States,<=50K
21,?,136629,7th-8th,7,Never-married,?,Unmarried,Black,Female,0,0,23,United-States,<=50K
64,Private,101361,HS-grad,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,<=50K
58,Private,99912,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
60,Private,145383,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
34,Self-emp-inc,206151,Some-college,10,Separated,Other-service,Not-in-family,White,Male,15,0,25,United-States,<=50K
33,Private,157893,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,8,0,52,United-States,<=50K
28,Private,109973,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,14,1850,52,United-States,>50K
63,Self-emp-not-inc,220279,Assoc-voc,4,Married-civ-spouse,Other-service,Husband,White,Male,0,1,40,United-States,<=50K
23,Local-gov,276849,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,16,0,6,United-States,<=50K
48,Local-gov,106973,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7908,0,51,United-States,>50K
72,Private,111090,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,8,0,36,United-States,<=50K
36,Private,170926,Masters,11,Divorced,Prof-specialty,Not-in-family,White,Female,19,0,51,United-States,>50K
19,Private,95892,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,<=50K
45,Self-emp-inc,115765,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,15715,0,50,Germany,>50K
53,Federal-gov,176068,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Male,2,0,52,Japan,<=50K
21,?,138560,HS-grad,9,Never-married,?,Own-child,Black,Female,0,0,40,United-States,<=50K
30,Private,174341,HS-grad,9,Never-married,?,Own-child,Black,Male,0,0,40,United-States,<=50K
31,Private,293607,Assoc-acdm,4,Never-married,Exec-managerial,Not-in-family,White,Male,17,0,50,Mexico,<=50K
42,Local-gov,187486,Doctorate,12,Married-civ-spouse,Sales,Husband,White,Male,16,0,52,Vietnam,>50K
57,Private,169697,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12,0,40,United-States,>50K
17,Private,190215,11th,7,Divorced,Other-service,Unmarried,White,Female,10,0,40,United-States,<=50K
49,?,248059,10th,7,Never-married,?,Other-relative,White,Female,0,0,28,United-States,<=50K
29,Local-gov,403226,Masters,14,Never-married,Prof-specialty,Own-child,Black,Male,4,1778,40,United-States,<=50K
40,Private,221483,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,61,United-States,<=50K
38,Self-emp-not-inc,103274,Masters,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,11,1,40,United-States,>50K
25,Private,83242,Prof-school,7,Never-married,Sales,Not-in-family,White,Male,16,0,50,United-States,<=50K
41,Private,118494,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,36,United-States,>50K
26,Private,296870,11th,7,Never-married,Sales,Unmarried,Black,Female,2,0,40,United-States,<=50K
41,Self-emp-inc,135060,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,33,0,49,?,>50K
29,Private,172715,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,9,0,49,Mexico,<=50K
28,Private,196304,Masters,14,Married-spouse-absent,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,12,1829,40,Vietnam,>50K
30,Local-gov,208408,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,14915,0,51,United-States,>50K
47,Self-emp-not-inc,113047,9th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,22,Mexico,<=50K
22,?,171233,HS-grad,9,Never-married,?,Own-child,White,Male,11,0,40,United-States,<=50K
29,Local-gov,154659,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,51,United-States,>50K
36,Private,76107,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,England,<=50K
38,Self-emp-inc,335896,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,7,1,25,United-States,<=50K
30,Private,248139,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Male,13,1,68,United-States,<=50K
21,Private,307905,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,1,40,Puerto-Rico,<=50K
54,Local-gov,108146,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,26,0,40,United-States,<=50K
20,Local-gov,677022,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,19,0,40,United-States,<=50K
31,Private,117865,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,23,0,40,United-States,<=50K
35,?,240510,Some-college,10,Separated,?,Unmarried,Black,Female,22,0,24,United-States,<=50K
44,Local-gov,179337,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4548,1,52,United-States,>50K
46,Private,405593,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
62,Self-emp-inc,183923,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,18,1878,40,United-States,<=50K
24,Private,184130,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
37,Private,213232,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,36,0,50,Mexico,<=50K
25,Private,277619,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,3985,0,47,United-States,<=50K
44,Private,49325,Assoc-acdm,12,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,3,0,48,United-States,<=50K
40,Private,229664,7th-8th,4,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,34,United-States,<=50K
62,Private,91133,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,>50K
52,Private,136938,HS-grad,9,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,52,United-States,<=50K
57,Self-emp-inc,29534,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,19,0,40,United-States,<=50K
46,Private,266293,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20,0,35,United-States,<=50K
28,Private,276503,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,36,?,<=50K
27,Private,232080,Assoc-acdm,12,Never-married,Adm-clerical,Other-relative,White,Male,0,0,28,Mexico,<=50K
43,Local-gov,137604,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15374,0,51,United-States,>50K
42,Private,179517,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7929,1878,47,Peru,>50K
70,Federal-gov,85070,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,36,0,50,United-States,>50K
42,Private,149045,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,9,0,48,United-States,>50K
38,Private,26900,Assoc-voc,11,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,23,United-States,<=50K
77,Private,240041,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
57,Private,95979,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,3,0,40,United-States,>50K
21,Private,164807,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
58,Private,107862,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,32,United-States,<=50K
30,State-gov,192594,Masters,14,Never-married,Other-service,Not-in-family,Black,Male,6,1,35,United-States,<=50K
47,Federal-gov,142590,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,8018,0,40,United-States,>50K
21,Private,129339,12th,12,Married-civ-spouse,Craft-repair,Husband,Other,Male,27,1,50,United-States,>50K
35,Self-emp-not-inc,247552,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,<=50K
61,Private,94894,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14,0,48,Canada,>50K
19,Private,186024,11th,7,Never-married,Farming-fishing,Own-child,White,Male,10,0,40,United-States,<=50K
76,Private,56558,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
20,Private,207545,Assoc-voc,11,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,8,0,12,United-States,<=50K
48,Private,50683,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,9,0,40,United-States,<=50K
47,Federal-gov,190054,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,45,United-States,>50K
37,Private,96905,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,5,1805,40,United-States,<=50K
44,Private,188094,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,>50K
49,Private,135186,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,Black,Female,4,0,34,?,<=50K
30,Private,221957,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,80,United-States,<=50K
25,Private,376948,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,9,0,40,Jamaica,<=50K
33,Local-gov,239354,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,9,1,40,United-States,<=50K
63,Self-emp-inc,102682,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,1716,48,United-States,>50K
56,Private,141643,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7985,0,51,United-States,>50K
31,Private,165340,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,47,?,>50K
20,Private,389464,10th,4,Never-married,Other-service,Own-child,White,Female,10,0,39,United-States,<=50K
45,Private,197725,5th-6th,10,Widowed,Adm-clerical,Unmarried,White,Female,9,0,33,United-States,<=50K
40,Federal-gov,71020,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,10,0,49,United-States,>50K
31,Private,40486,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,4,0,51,Mexico,<=50K
29,Private,326599,Assoc-voc,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,53,United-States,>50K
29,Private,208084,HS-grad,9,Never-married,Adm-clerical,Husband,White,Male,15,0,40,United-States,<=50K
39,Private,42511,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,0,60,United-States,>50K
25,?,387715,5th-6th,4,Never-married,?,Own-child,Black,Male,0,0,40,Mexico,<=50K
53,Private,217172,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,11,0,40,?,>50K
18,?,178187,10th,7,Never-married,?,Unmarried,Black,Female,6,1,40,United-States,<=50K
28,Private,25468,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,4,0,40,United-States,<=50K
33,Private,191403,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,98424,0,40,Canada,>50K
49,Private,405848,5th-6th,4,Separated,Other-service,Other-relative,Other,Female,15,0,25,Portugal,<=50K
60,Private,97990,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,0,0,40,Canada,<=50K
29,Private,181478,12th,7,Divorced,Exec-managerial,Unmarried,White,Male,5,1,52,Mexico,<=50K
47,Federal-gov,54425,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Male,24,0,50,United-States,<=50K
35,Private,225211,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,37,Portugal,<=50K
46,Without-pay,263145,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,7,0,40,United-States,<=50K
38,?,27021,12th,7,Divorced,?,Unmarried,Black,Female,0,1,40,United-States,<=50K
45,Private,193581,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,17,0,51,United-States,>50K
24,Private,137665,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
19,?,41173,Bachelors,13,Never-married,?,Own-child,White,Female,0,0,24,United-States,<=50K
23,Private,117784,1st-4th,4,Never-married,Adm-clerical,Other-relative,Black,Female,2,0,40,Mexico,<=50K
53,Self-emp-inc,172333,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15325,0,53,United-States,>50K
40,Private,122657,Some-college,10,Married-spouse-absent,Exec-managerial,Own-child,White,Male,8,0,47,United-States,<=50K
18,?,42476,11th,7,Never-married,?,Own-child,Black,Male,2,0,25,United-States,<=50K
40,Local-gov,35152,Bachelors,13,Widowed,Adm-clerical,Unmarried,White,Female,4416,0,54,United-States,<=50K
53,Local-gov,156068,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
43,Local-gov,356971,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,61,Germany,>50K
34,Private,226436,11th,7,Divorced,Adm-clerical,Unmarried,White,Female,20,0,21,United-States,<=50K
39,Local-gov,210364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,1,40,United-States,<=50K
47,Self-emp-inc,77535,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15226,0,50,United-States,>50K
46,Private,660659,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Private,343550,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,0,40,Mexico,<=50K
26,Private,175653,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,2,0,48,?,<=50K
31,Local-gov,39199,Bachelors,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,0,50,United-States,>50K
29,?,215042,Some-college,10,Never-married,?,Other-relative,Amer-Indian-Eskimo,Female,8,0,25,United-States,<=50K
33,Private,125025,Masters,14,Widowed,Exec-managerial,Husband,White,Female,30,0,48,United-States,>50K
44,Private,44932,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Other,Male,6,0,78,?,>50K
50,Private,48602,HS-grad,9,Divorced,Exec-managerial,Unmarried,Black,Female,20,0,60,United-States,<=50K
58,Federal-gov,183793,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,36,United-States,>50K
69,Self-emp-inc,319752,Some-college,10,Divorced,Farming-fishing,Other-relative,White,Male,0,0,24,United-States,<=50K
60,Self-emp-inc,37278,Some-college,10,Divorced,Craft-repair,Other-relative,White,Male,0,0,36,United-States,<=50K
47,Private,310104,Masters,4,Never-married,Handlers-cleaners,Not-in-family,White,Male,15,0,40,United-States,<=50K
25,Private,114876,Assoc-voc,11,Never-married,Sales,Unmarried,White,Female,0,0,24,United-States,<=50K
22,Private,131405,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,13,0,21,United-States,<=50K
32,Self-emp-inc,261248,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,25,0,40,United-States,<=50K
35,?,209849,Some-college,10,Divorced,?,Unmarried,Black,Female,10,0,18,United-States,<=50K
23,Private,159754,Some-college,10,Divorced,Transport-moving,Unmarried,Black,Male,0,1,24,Cuba,<=50K
51,Private,109606,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
24,?,171383,Some-college,10,Married-spouse-absent,?,Own-child,White,Male,8,0,34,United-States,<=50K
27,Private,231440,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,1,0,52,United-States,<=50K
41,Local-gov,276700,Bachelors,13,Never-married,Other-service,Own-child,Black,Male,0,0,23,?,<=50K
31,Private,180898,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,17,0,51,United-States,>50K
41,Private,143829,Assoc-voc,11,Separated,Tech-support,Husband,White,Male,14,0,40,United-States,>50K
59,Local-gov,254124,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7825,1816,24,United-States,>50K
